"date","geography","geography code","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"2011","E00004482","E00004482","Total",121,71,30,16,4,0
"2011","E00004497","E00004497","Total",117,32,30,33,17,5
"2011","E00004498","E00004498","Total",145,43,50,36,15,1
"2011","E00004502","E00004502","Total",120,30,39,29,20,2
"2011","E00004505","E00004505","Total",124,50,26,28,18,2
"2011","E00004481","E00004481","Total",133,39,43,37,14,0
"2011","E00004493","E00004493","Total",118,39,54,14,6,5
"2011","E00004500","E00004500","Total",131,37,58,26,9,1
"2011","E00004501","E00004501","Total",76,28,25,16,6,1
"2011","E00004503","E00004503","Total",132,32,52,35,12,1
"2011","E00004506","E00004506","Total",133,48,39,31,14,1
"2011","E00004507","E00004507","Total",104,65,23,15,1,0
"2011","E00004504","E00004504","Total",117,85,23,8,1,0
"2011","E00004508","E00004508","Total",150,73,42,22,9,4
"2011","E00004509","E00004509","Total",122,47,44,19,9,3
"2011","E00004510","E00004510","Total",128,71,38,13,6,0
"2011","E00004511","E00004511","Total",144,83,34,17,10,0
"2011","E00004486","E00004486","Total",116,61,36,12,6,1
"2011","E00004487","E00004487","Total",112,43,38,22,8,1
"2011","E00004489","E00004489","Total",120,52,43,19,5,1
"2011","E00004490","E00004490","Total",94,25,31,23,14,1
"2011","E00004491","E00004491","Total",149,33,49,42,23,2
"2011","E00004517","E00004517","Total",109,36,32,26,12,3
"2011","E00004492","E00004492","Total",128,92,25,9,2,0
"2011","E00004494","E00004494","Total",182,124,42,14,2,0
"2011","E00004495","E00004495","Total",126,71,48,6,0,1
"2011","E00004496","E00004496","Total",151,91,51,9,0,0
"2011","E00004499","E00004499","Total",135,98,33,3,1,0
"2011","E00004411","E00004411","Total",114,50,48,10,6,0
"2011","E00004412","E00004412","Total",128,70,44,11,3,0
"2011","E00004414","E00004414","Total",123,63,40,13,6,1
"2011","E00004416","E00004416","Total",114,61,43,8,2,0
"2011","E00004418","E00004418","Total",114,70,34,9,1,0
"2011","E00004423","E00004423","Total",122,62,50,6,3,1
"2011","E00004401","E00004401","Total",128,77,40,9,2,0
"2011","E00004404","E00004404","Total",116,78,27,11,0,0
"2011","E00004417","E00004417","Total",125,75,41,9,0,0
"2011","E00004421","E00004421","Total",123,79,37,6,1,0
"2011","E00004429","E00004429","Total",127,70,38,15,2,2
"2011","E00004409","E00004409","Total",108,51,31,21,4,1
"2011","E00004410","E00004410","Total",120,66,37,14,2,1
"2011","E00004415","E00004415","Total",139,86,40,11,2,0
"2011","E00004419","E00004419","Total",126,66,46,11,3,0
"2011","E00004422","E00004422","Total",92,51,22,13,6,0
"2011","E00004428","E00004428","Total",131,80,42,8,1,0
"2011","E00004430","E00004430","Total",125,11,57,50,7,0
"2011","E00004402","E00004402","Total",127,67,41,12,5,2
"2011","E00004420","E00004420","Total",112,66,35,7,3,1
"2011","E00004424","E00004424","Total",117,68,38,5,6,0
"2011","E00004425","E00004425","Total",140,81,48,7,4,0
"2011","E00004426","E00004426","Total",143,72,51,16,3,1
"2011","E00004427","E00004427","Total",117,79,31,7,0,0
"2011","E00004403","E00004403","Total",128,76,47,5,0,0
"2011","E00004405","E00004405","Total",128,89,32,5,2,0
"2011","E00004406","E00004406","Total",117,72,29,11,4,1
"2011","E00004407","E00004407","Total",118,74,35,7,2,0
"2011","E00004408","E00004408","Total",106,76,20,8,2,0
"2011","E00004413","E00004413","Total",101,73,21,5,1,1
"2011","E00004483","E00004483","Total",114,71,28,10,4,1
"2011","E00004485","E00004485","Total",123,59,38,17,8,1
"2011","E00004513","E00004513","Total",102,57,32,9,4,0
"2011","E00004514","E00004514","Total",116,64,39,9,4,0
"2011","E00004516","E00004516","Total",133,81,39,10,3,0
